week,search_index
1/3/16,7
1/10/16,6
1/17/16,7
1/24/16,7
1/31/16,7
2/7/16,7
2/14/16,8
2/21/16,7
2/28/16,7
3/6/16,7
3/13/16,7
3/20/16,7
3/27/16,8
4/3/16,8
4/10/16,7
4/17/16,8
4/24/16,7
5/1/16,7
5/8/16,8
5/15/16,8
5/22/16,8
5/29/16,8
6/5/16,8
6/12/16,11
6/19/16,9
6/26/16,9
7/3/16,9
7/10/16,11
7/17/16,10
7/24/16,9
7/31/16,9
8/7/16,16
8/14/16,10
8/21/16,9
8/28/16,8
9/4/16,8
9/11/16,10
9/18/16,8
9/25/16,8
10/2/16,8
10/9/16,10
10/16/16,12
10/23/16,12
10/30/16,11
11/6/16,12
11/13/16,13
11/20/16,24
11/27/16,25
12/4/16,24
12/11/16,25
12/18/16,30
12/25/16,59
1/1/17,36
1/8/17,26
1/15/17,23
1/22/17,20
1/29/17,17
2/5/17,20
2/12/17,17
2/19/17,16
2/26/17,15
3/5/17,17
3/12/17,18
3/19/17,16
3/26/17,16
4/2/17,16
4/9/17,15
4/16/17,15
4/23/17,15
4/30/17,19
5/7/17,19
5/14/17,19
5/21/17,18
5/28/17,18
6/4/17,19
6/11/17,18
6/18/17,20
6/25/17,18
7/2/17,19
7/9/17,35
7/16/17,22
7/23/17,20
7/30/17,20
8/6/17,20
8/13/17,19
8/20/17,18
8/27/17,19
9/3/17,16
9/10/17,17
9/17/17,17
9/24/17,18
10/1/17,17
10/8/17,17
10/15/17,18
10/22/17,20
10/29/17,20
11/5/17,22
11/12/17,24
11/19/17,39
11/26/17,43
12/3/17,35
12/10/17,38
12/17/17,48
12/24/17,100
12/31/17,51
1/7/18,35
1/14/18,32
1/21/18,29
1/28/18,31
2/4/18,42
2/11/18,31
2/18/18,25
2/25/18,24
3/4/18,33
3/11/18,26
3/18/18,26
3/25/18,29
4/1/18,27
4/8/18,24
4/15/18,23
4/22/18,22
4/29/18,20
5/6/18,21
5/13/18,22
5/20/18,22
5/27/18,22
6/3/18,21
6/10/18,23
6/17/18,23
6/24/18,20
7/1/18,22
7/8/18,21
7/15/18,32
7/22/18,26
7/29/18,23
8/5/18,22
8/12/18,23
8/19/18,23
8/26/18,20
9/2/18,21
9/9/18,18